                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1003,                 0.7597,                 1.0379,                 1.2187,                0.79557,                 1.0355,                 0.8515,                0.88739,                0.94793,                0.66162,                 1.2298,                0.74269,                 1.0835,                 1.2812,                0.57388,                 1.0622,             0.00095677,             0.00095677,             0.00095677
                     34,                  1.083,                0.73351,                  1.011,                 1.2169,                0.87492,                 1.0204,                0.81201,                0.84506,                0.90891,                0.62298,                 1.2903,                0.74948,                 1.1326,                 1.1956,                0.90497,                 1.0728,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0981,                 0.7418,                 1.0314,                 1.1109,                0.75352,                 1.0344,                 0.7893,                0.83928,                0.88531,                0.59089,                 1.1016,                0.76976,                 1.0669,                 1.1281,                0.81396,                 1.0858,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1204,                0.73889,                0.99416,                 1.2799,                 0.8324,                0.96849,                0.75862,                0.91109,                0.91147,                0.59353,                 1.1054,                0.81572,                 1.1102,                 1.2445,                0.68983,                 1.1552,               0.000948,               0.000948,               0.000948
                     37,                 1.0026,                0.74125,                0.98594,                 1.1035,                 0.6753,                0.98494,                0.75862,                0.91109,                0.91147,                0.59353,                 1.1054,                0.81572,                 1.1102,                 1.2445,                0.68983,                 1.1552,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0166,                 0.7432,                 1.0322,                 1.1453,                0.70678,                 1.0194,                0.82276,                0.88215,                0.93846,                0.60571,                 1.0407,                0.87634,                 1.0542,                 1.2586,                0.64246,                  1.087,              0.0009197,              0.0009197,              0.0009197
                     39,                0.94918,                0.69442,                0.98995,                0.99674,                0.84146,                0.97451,                0.90079,                0.84494,                0.95022,                 0.6383,                 1.0601,                0.92971,                 1.0352,                 1.2664,                  0.736,                 1.0644,             0.00090556,             0.00090556,             0.00090556
                     40,                0.97709,                0.69748,                 1.0132,                 1.0326,                0.72184,                 1.0072,                0.83525,                0.92273,                0.94327,                0.66777,                 1.0798,                0.91448,                 1.0698,                 1.3262,                0.75885,                 1.1927,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0694,                0.66274,                  1.016,                 1.1122,                0.81013,                 1.0641,                0.83525,                0.92273,                0.94327,                0.66777,                 1.0798,                0.91448,                 1.0698,                 1.3262,                0.75885,                 1.1927,             0.00087726,             0.00087726,             0.00087726
                     42,                0.98754,                0.70945,                 1.0029,                 1.0129,                0.72315,                0.98041,                0.80954,                0.85001,                0.93378,                0.66402,                 1.0674,                0.85301,                 1.0579,                 1.1581,                0.70383,                 1.1107,             0.00086312,             0.00086312,             0.00086312
                     43,                0.98515,                0.68926,                0.99566,                  1.034,                0.71702,                0.94215,                  0.753,                0.89935,                0.92867,                0.65013,                   1.04,                0.77969,                 1.0166,                  1.208,                0.69879,                 1.0867,             0.00084897,             0.00084897,             0.00084897
                     44,                 0.9521,                0.68924,                0.98759,                 1.0023,                 0.6715,                0.96723,                0.72813,                0.84862,                0.89203,                0.59707,                 1.0914,                0.73556,                 1.0135,                 1.2456,                0.68798,                 1.0874,             0.00083482,             0.00083482,             0.00083482
                     45,                  1.068,                0.70638,                0.97579,                 1.1574,                0.74888,                0.96863,                0.72813,                0.84862,                0.89203,                0.59707,                 1.0914,                0.73556,                 1.0135,                 1.2456,                0.68798,                 1.0874,             0.00082067,             0.00082067,             0.00082067
                     46,                0.99809,                  0.657,                0.98554,                   1.12,                0.62291,                 1.0056,                0.82023,                0.84831,                0.92194,                0.62424,                 1.1657,                0.76765,                 1.0513,                  1.262,                0.65862,                 1.1044,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.1736,                0.81443,                 1.0284,                 1.2945,                0.80226,                 1.0184,                0.90903,                0.82357,                0.92552,                0.60007,                 1.1275,                0.74805,                 1.0455,                 1.3157,                 0.7591,                 1.0541,             0.00079238,             0.00079238,             0.00079238
                     48,                0.95291,                0.70631,                  1.001,                 1.0849,                0.70724,                 1.0136,                0.89429,                0.80675,                0.93623,                0.59737,                 1.1776,                0.68083,                 1.0273,                 1.3571,                0.91431,                 1.0487,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1064,                0.70192,                0.99946,                  1.217,                0.90872,                 1.0033,                0.89429,                0.80675,                0.93623,                0.59737,                 1.1776,                0.68083,                 1.0273,                 1.3571,                0.91431,                 1.0487,             0.00076409,             0.00076409,             0.00076409
